month,month_name,total_revenue,target_revenue,pct_of_target,new_revenue,return_revenue,spend,orders,sessions,new_customers,aov,cac,roas,cvr,paid_pct,organic_pct
1,January,607038.89,1399999.99,43.36,423330.47,183708.42,1302393.25,6766,307019,4705,89.72,276.81,0.47,2.2038,83.28,16.72
2,February,562820.25,1500000.04,37.52,383090.7,179729.55,1092968.24,5930,264089,4026,94.91,271.48,0.51,2.2455,81.93,18.07
3,March,649717.18,1700000.01,38.22,440951.96,208765.22,1171804.99,6516,295439,4407,99.71,265.9,0.55,2.2055,81.8,18.2
